canonical_event_id,latitude,longitude,date,state,district,event_type,trigger,severity,data_source,data_quality,landslide_event,rainfall_1h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_48h,rainfall_7d,rainfall_intensity,rainfall_data_source,elevation,slope,aspect,curvature,terrain_ruggedness,soil_moisture,soil_texture,soil_ph,soil_organic_carbon,ndvi,land_cover,ground_displacement,historical_landslide_frequency,historical_landslide_distance,population_exposure,infrastructure_exposure,distance_to_road,distance_to_river,is_ner
CE-00000,27.269439,95.379299,2017-04-19,Arunachal Pradesh,Lohit,translational_slide,unknown,very_high,isro_atlas_synthetic,simulated,1,0.76,2.37,7.31,14.86,16.7,117.25,0.762,gpm_synthetic,,,,,,,,,,,,,2,0.0,1199.0,6.38,2.95,0.52,1
CE-00001,25.475193,90.935399,2001-08-26,Meghalaya,West Khasi Hills,rotational_slide,rain_and_snowmelt,high,isro_atlas_synthetic,simulated,1,0.12,0.13,0.14,0.83,1.1,1.62,0.116,gpm_synthetic,,,,,,,,,,,,,9,0.0,398.0,2.69,1.76,3.39,1
CE-00002,27.081909,95.363816,2011-09-18,Arunachal Pradesh,Lohit,debris_flow,monsoonal_rain,medium,isro_atlas_synthetic,simulated,1,2.95,28.96,6.7,54.89,158.45,239.22,2.947,gpm_synthetic,,,,,,,,,,,,,7,0.0,70.0,2.79,1.41,0.67,1
CE-00003,23.547319,92.483361,2017-05-02,Mizoram,Champhai,mudflow,unknown,medium,isro_atlas_synthetic,simulated,1,0.45,0.21,0.33,10.1,17.52,33.14,0.446,gpm_synthetic,,,,,,,,,,,,,13,0.0,432.0,1.56,0.89,0.27,1
CE-00004,24.43523,93.884778,2006-05-06,Manipur,Ukhrul,rockfall,rain,medium,isro_atlas_synthetic,simulated,1,1.51,9.3,41.36,63.68,83.8,86.63,1.513,gpm_synthetic,,,,,,,,,,,,,5,0.0,461.0,1.45,1.22,0.29,1
CE-00005,23.966339,91.400133,2008-10-09,Tripura,West Tripura,mudflow,rain,high,isro_atlas_synthetic,simulated,1,0.43,1.51,6.53,8.51,8.55,23.92,0.431,gpm_synthetic,,,,,,,,,,,,,10,0.0,136.0,0.97,0.63,0.42,1
CE-00006,25.319876,92.549954,2015-09-01,Assam,Cachar,rotational_slide,unknown,medium,isro_atlas_synthetic,simulated,1,0.27,13.15,11.8,15.27,50.05,103.44,0.272,gpm_synthetic,,,,,,,,,,,,,7,0.0,1514.0,9.6,5.15,1.09,1
CE-00007,25.734371,90.119898,2009-09-04,Meghalaya,South Garo Hills,mudflow,earthquake,medium,isro_atlas_synthetic,simulated,1,0.99,11.59,17.97,136.83,231.09,565.83,0.992,gpm_synthetic,,,,,,,,,,,,,8,0.0,137.0,7.39,2.24,0.35,1
CE-00008,25.72679,90.329604,2013-02-09,Meghalaya,South Garo Hills,mudflow,rain,medium,isro_atlas_synthetic,simulated,1,0.03,0.49,0.06,1.65,1.75,4.63,0.032,gpm_synthetic,,,,,,,,,,,,,7,0.0,923.0,4.04,2.56,2.25,1
CE-00009,23.36697,91.379151,2019-07-08,Tripura,Gomati,debris_flow,earthquake,medium,isro_atlas_synthetic,simulated,1,21.48,31.49,114.42,159.29,232.27,530.79,21.475,gpm_synthetic,,,,,,,,,,,,,7,0.0,372.0,0.58,2.73,3.23,1
CE-00010,23.453193,91.75701,2014-02-05,Tripura,Gomati,translational_slide,unknown,low,isro_atlas_synthetic,simulated,1,0.23,0.47,0.91,1.88,1.91,6.0,0.235,gpm_synthetic,,,,,,,,,,,,,11,0.0,1762.0,6.26,4.08,0.32,1
CE-00011,26.200522,94.326156,2002-07-19,Nagaland,Kohima,rockfall,rain,medium,isro_atlas_synthetic,simulated,1,4.8,14.38,67.69,90.26,175.48,292.82,4.803,gpm_synthetic,,,,,,,,,,,,,7,0.0,602.0,6.78,3.95,0.08,1
CE-00012,23.193825,92.509003,2007-11-26,Mizoram,Aizawl,rotational_slide,rain,medium,isro_atlas_synthetic,simulated,1,0.51,1.12,2.46,5.97,6.37,9.29,0.507,gpm_synthetic,,,,,,,,,,,,,10,0.0,128.0,1.6,1.47,2.31,1
CE-00013,25.608445,92.674681,2017-04-08,Assam,Cachar,debris_flow,rain_and_snowmelt,very_high,isro_atlas_synthetic,simulated,1,1.56,0.3,31.37,43.0,55.68,309.52,1.565,gpm_synthetic,,,,,,,,,,,,,5,0.0,182.0,0.49,13.44,0.22,1
CE-00014,26.23961,94.338386,2005-09-24,Nagaland,Kohima,translational_slide,rain_and_snowmelt,high,isro_atlas_synthetic,simulated,1,2.51,6.25,0.55,51.4,217.43,265.67,2.51,gpm_synthetic,,,,,,,,,,,,,7,0.0,674.0,2.94,1.48,1.62,1
CE-00015,27.074923,92.792222,2012-03-12,Arunachal Pradesh,Papum Pare,debris_flow,rain,medium,isro_atlas_synthetic,simulated,1,0.26,27.01,0.28,35.18,53.31,59.76,0.259,gpm_synthetic,,,,,,,,,,,,,6,0.0,1154.0,8.98,0.16,1.03,1
CE-00016,23.743822,92.335296,2000-08-25,Mizoram,Champhai,translational_slide,earthquake,low,isro_atlas_synthetic,simulated,1,1.26,11.72,5.89,15.8,29.59,63.8,1.257,gpm_synthetic,,,,,,,,,,,,,8,0.0,389.0,9.38,1.64,0.91,1
CE-00017,26.991152,93.141368,2021-08-03,Arunachal Pradesh,Papum Pare,rotational_slide,monsoonal_rain,medium,isro_atlas_synthetic,simulated,1,4.52,20.86,7.61,40.53,58.16,151.25,4.521,gpm_synthetic,,,,,,,,,,,,,8,0.0,206.0,4.59,1.22,0.45,1
CE-00018,25.583488,90.215784,2009-07-15,Meghalaya,South Garo Hills,rockfall,rain,low,isro_atlas_synthetic,simulated,1,0.4,144.48,0.23,97.56,179.81,430.35,0.403,gpm_synthetic,,,,,,,,,,,,,10,0.0,1127.0,7.19,2.75,5.86,1
CE-00019,25.727018,90.104288,2001-06-19,Meghalaya,South Garo Hills,translational_slide,unknown,medium,isro_atlas_synthetic,simulated,1,0.51,1.57,0.14,15.09,22.39,58.58,0.512,gpm_synthetic,,,,,,,,,,,,,6,0.0,101.0,0.13,0.22,2.5,1
CE-00020,25.608006,91.265107,2000-08-02,Assam,Kamrup,rockfall,rain,medium,isro_atlas_synthetic,simulated,1,21.77,4.61,10.24,97.64,131.86,173.41,21.773,gpm_synthetic,,,,,,,,,,,,,15,0.0,453.0,0.81,1.18,0.44,1
CE-00021,23.72645,91.495459,2005-06-14,Tripura,Gomati,debris_flow,rain,very_high,isro_atlas_synthetic,simulated,1,4.09,11.0,9.64,29.28,42.42,384.95,4.089,gpm_synthetic,,,,,,,,,,,,,14,0.0,133.0,1.48,1.5,2.21,1
CE-00022,26.346188,94.095839,2008-11-21,Assam,Karbi Anglong,debris_flow,earthquake,high,isro_atlas_synthetic,simulated,1,0.53,4.89,6.38,9.29,16.04,46.72,0.525,gpm_synthetic,,,,,,,,,,,,,16,0.0,733.0,3.23,0.58,3.95,1
CE-00023,27.680831,91.736829,2017-09-03,Arunachal Pradesh,Tawang,debris_flow,monsoonal_rain,low,isro_atlas_synthetic,simulated,1,0.46,5.84,5.67,15.21,35.38,38.75,0.461,gpm_synthetic,,,,,,,,,,,,,10,0.0,269.0,2.12,0.77,2.12,1
CE-00024,27.765556,91.626642,2001-08-05,Arunachal Pradesh,Tawang,debris_flow,rain,high,isro_atlas_synthetic,simulated,1,0.8,14.03,12.26,46.54,147.39,231.08,0.804,gpm_synthetic,,,,,,,,,,,,,4,0.0,217.0,9.61,0.03,1.64,1
CE-00025,23.735913,91.600371,2017-01-04,Tripura,Gomati,rockfall,rain,low,isro_atlas_synthetic,simulated,1,2.95,11.23,23.25,34.81,47.2,69.75,2.947,gpm_synthetic,,,,,,,,,,,,,6,0.0,1481.0,0.24,5.0,0.39,1
CE-00026,23.503165,91.697131,2001-06-16,Tripura,Gomati,debris_flow,unknown,high,isro_atlas_synthetic,simulated,1,0.08,9.01,4.86,13.92,16.45,53.28,0.079,gpm_synthetic,,,,,,,,,,,,,10,0.0,85.0,0.79,2.24,4.07,1
