event_id,latitude,longitude,elevation,slope,aspect,curvature,terrain_ruggedness,data_source,data_quality
ISRO-2017-0001,27.269439,95.379299,3236.0,39.17,200.79,-0.063,29.11,dem_synthetic,simulated
ISRO-2001-0002,25.475193,90.935399,1731.1,24.38,265.1,-0.0111,27.13,dem_synthetic,simulated
ISRO-2011-0003,27.081909,95.363816,934.1,43.28,359.19,0.093,5.95,dem_synthetic,simulated
ISRO-2017-0004,23.547319,92.483361,651.7,35.58,2.49,0.0345,9.35,dem_synthetic,simulated
ISRO-2006-0005,24.43523,93.884778,1837.5,36.1,162.69,-0.0306,90.12,dem_synthetic,simulated
ISRO-2008-0006,23.966339,91.400133,955.6,7.87,129.0,-0.1087,35.48,dem_synthetic,simulated
ISRO-2015-0007,25.319876,92.549954,930.2,34.89,85.26,-0.0118,34.76,dem_synthetic,simulated
ISRO-2009-0008,25.734371,90.119898,1935.8,28.74,226.77,-0.057,56.82,dem_synthetic,simulated
ISRO-2013-0009,25.72679,90.329604,2060.7,12.16,327.15,0.0081,23.83,dem_synthetic,simulated
ISRO-2019-0010,23.36697,91.379151,415.8,13.65,222.31,0.0274,29.32,dem_synthetic,simulated
ISRO-2014-0011,23.453193,91.75701,474.6,33.69,125.26,-0.0449,193.08,dem_synthetic,simulated
ISRO-2002-0012,26.200522,94.326156,2158.9,41.43,30.12,-0.0784,2.95,dem_synthetic,simulated
ISRO-2007-0013,23.193825,92.509003,1018.2,11.88,232.86,0.0153,65.24,dem_synthetic,simulated
ISRO-2017-0014,25.608445,92.674681,1827.1,29.22,83.06,-0.0464,38.56,dem_synthetic,simulated
ISRO-2005-0015,26.23961,94.338386,1371.1,43.07,251.76,0.1452,116.4,dem_synthetic,simulated
ISRO-2012-0016,27.074923,92.792222,3469.1,28.68,184.92,-0.0033,36.81,dem_synthetic,simulated
ISRO-2000-0017,23.743822,92.335296,2048.6,26.21,202.38,0.0323,1.16,dem_synthetic,simulated
ISRO-2021-0018,26.991152,93.141368,1638.3,39.88,93.76,0.041,9.38,dem_synthetic,simulated
ISRO-2009-0019,25.583488,90.215784,1762.9,27.93,196.19,0.0157,130.52,dem_synthetic,simulated
ISRO-2001-0020,25.727018,90.104288,1511.1,27.78,238.23,0.1142,26.99,dem_synthetic,simulated
ISRO-2000-0021,25.608006,91.265107,2055.5,44.52,198.93,0.0216,32.98,dem_synthetic,simulated
ISRO-2005-0022,23.72645,91.495459,1051.3,26.88,243.28,0.0206,25.25,dem_synthetic,simulated
ISRO-2008-0023,26.346188,94.095839,1381.7,32.67,27.99,-0.0113,16.28,dem_synthetic,simulated
ISRO-2017-0024,27.680831,91.736829,2967.6,35.28,131.48,0.0111,61.81,dem_synthetic,simulated
ISRO-2001-0025,27.765556,91.626642,1620.8,42.13,270.86,0.0188,21.95,dem_synthetic,simulated
ISRO-2017-0026,23.735913,91.600371,1057.8,21.64,167.65,0.0062,5.03,dem_synthetic,simulated
ISRO-2001-0027,23.503165,91.697131,959.5,25.24,140.71,-0.0675,153.68,dem_synthetic,simulated
ISRO-2001-0028,27.111877,88.813781,1956.8,48.64,342.66,0.0016,0.2,dem_synthetic,simulated
ISRO-2005-0029,25.712404,90.76243,1912.7,52.75,249.64,0.1035,42.89,dem_synthetic,simulated
ISRO-2022-0030,27.648021,92.016512,2196.7,47.69,115.31,0.0477,87.54,dem_synthetic,simulated
ISRO-2018-0031,26.248409,93.76632,1892.0,22.6,61.23,-0.0201,96.15,dem_synthetic,simulated
ISRO-2007-0032,26.962941,93.075966,2286.1,35.83,345.25,0.0189,123.52,dem_synthetic,simulated
ISRO-2018-0033,27.102639,88.383279,3249.3,36.65,317.59,-0.0913,96.36,dem_synthetic,simulated
ISRO-2021-0034,27.032766,88.19236,2076.7,43.37,243.48,0.0414,18.86,dem_synthetic,simulated
ISRO-1999-0035,27.345572,88.690357,1318.0,44.46,15.71,-0.0165,9.04,dem_synthetic,simulated
ISRO-1999-0036,25.340749,90.868372,1159.4,16.34,120.07,-0.0035,101.14,dem_synthetic,simulated
ISRO-2011-0037,23.600836,91.466729,1117.9,37.84,30.26,0.0628,76.3,dem_synthetic,simulated
ISRO-2022-0038,25.651013,92.839739,2651.5,41.24,138.64,0.0067,47.05,dem_synthetic,simulated
ISRO-2019-0039,23.4814,91.542545,470.9,7.33,24.16,0.109,32.02,dem_synthetic,simulated
ISRO-2003-0040,23.333756,92.633196,881.4,14.71,57.24,-0.05,61.82,dem_synthetic,simulated
ISRO-2020-0041,23.690455,92.414181,675.4,23.74,255.67,0.0366,108.95,dem_synthetic,simulated
ISRO-2013-0042,26.394078,94.117447,1887.9,33.13,303.14,-0.001,23.23,dem_synthetic,simulated
ISRO-2000-0043,23.012858,92.592247,544.8,21.41,64.42,-0.01,72.51,dem_synthetic,simulated
ISRO-2017-0044,25.147557,94.323014,1861.7,29.81,63.38,-0.0115,29.24,dem_synthetic,simulated
ISRO-2012-0045,27.036215,92.982993,2320.2,33.23,88.17,0.0824,75.93,dem_synthetic,simulated
ISRO-2021-0046,26.809867,92.808552,1874.3,37.43,38.49,-0.0199,135.55,dem_synthetic,simulated
ISRO-2006-0047,26.399183,94.631266,1960.5,34.26,97.09,-0.0184,22.23,dem_synthetic,simulated
ISRO-2021-0048,27.268952,95.14166,2605.7,27.7,97.79,0.0149,153.66,dem_synthetic,simulated
ISRO-2007-0049,27.243316,93.10888,2114.5,37.32,203.53,0.0544,305.97,dem_synthetic,simulated
ISRO-2012-0050,25.393048,91.856151,1375.7,26.1,278.18,-0.0081,113.21,dem_synthetic,simulated
ISRO-2005-0051,27.809221,91.940647,3599.8,39.83,240.79,0.0166,20.36,dem_synthetic,simulated
ISRO-2000-0052,28.349552,94.782842,2850.9,37.76,248.82,0.074,146.79,dem_synthetic,simulated
ISRO-2001-0053,25.138384,93.949102,56.3,22.97,228.05,-0.0022,208.63,dem_synthetic,simulated
ISRO-2013-0054,27.450741,88.469276,2335.2,33.54,18.89,0.0294,155.8,dem_synthetic,simulated
ISRO-2015-0055,27.46899,88.370076,2180.9,34.38,181.06,-0.0571,69.61,dem_synthetic,simulated
ISRO-2019-0056,27.127606,95.317311,2813.4,43.68,171.12,0.121,93.35,dem_synthetic,simulated
ISRO-1999-0057,25.558154,90.771175,2210.5,20.1,104.28,0.0013,0.52,dem_synthetic,simulated
ISRO-2022-0058,24.77928,94.54204,1254.2,26.66,119.84,-0.0377,59.92,dem_synthetic,simulated
ISRO-2012-0059,24.599888,93.974617,1128.2,15.04,228.27,-0.0019,184.48,dem_synthetic,simulated
ISRO-2000-0060,26.817047,92.889038,1430.8,32.26,99.01,-0.0005,17.27,dem_synthetic,simulated
ISRO-2008-0061,26.858814,93.044153,1554.4,43.36,283.9,0.0395,19.69,dem_synthetic,simulated
ISRO-2012-0062,27.332886,95.301001,3411.4,42.52,134.54,0.0164,136.12,dem_synthetic,simulated
ISRO-2008-0063,26.563006,94.130329,2594.7,28.64,93.64,0.0104,4.57,dem_synthetic,simulated
ISRO-2011-0064,26.649935,93.907225,687.9,29.86,251.26,0.043,74.6,dem_synthetic,simulated
ISRO-1999-0065,27.190306,88.517065,1962.9,48.95,128.58,-0.0138,82.84,dem_synthetic,simulated
ISRO-2019-0066,26.136131,94.326806,964.0,32.93,211.58,-0.1356,120.19,dem_synthetic,simulated
ISRO-2017-0067,24.905481,94.193833,730.7,37.65,45.06,-0.0559,32.55,dem_synthetic,simulated
ISRO-2011-0068,26.331876,93.832953,3264.2,23.13,123.23,-0.0058,57.09,dem_synthetic,simulated
ISRO-2001-0069,22.874123,92.746286,650.4,10.56,228.11,-0.0594,73.57,dem_synthetic,simulated
ISRO-2002-0070,26.303552,93.672325,2631.5,27.48,122.0,-0.0176,21.2,dem_synthetic,simulated
ISRO-2000-0071,27.471834,91.971794,2682.4,42.04,335.74,-0.038,22.44,dem_synthetic,simulated
ISRO-2007-0072,26.219764,94.419228,2404.5,40.69,21.56,-0.0242,22.99,dem_synthetic,simulated
ISRO-2020-0073,25.043562,94.275137,1574.1,31.75,266.81,0.0926,54.81,dem_synthetic,simulated
ISRO-2020-0074,23.565416,91.438753,418.1,39.58,348.43,-0.0032,230.29,dem_synthetic,simulated
ISRO-2005-0075,24.549239,93.653657,1328.8,25.77,213.41,-0.0118,172.49,dem_synthetic,simulated
ISRO-2009-0076,27.630716,88.601664,2702.6,44.88,240.16,0.0221,93.84,dem_synthetic,simulated
ISRO-2016-0077,25.470044,91.026552,1664.0,31.57,175.16,0.0487,105.46,dem_synthetic,simulated
ISRO-2016-0078,23.423246,91.411935,888.7,36.92,85.87,0.0625,43.08,dem_synthetic,simulated
ISRO-2022-0079,25.355788,91.546841,1936.5,14.61,201.61,-0.0594,15.22,dem_synthetic,simulated
ISRO-1998-0080,25.436351,92.474349,1333.5,32.02,24.18,0.0011,151.87,dem_synthetic,simulated
ISRO-2016-0081,26.650436,93.774482,2717.2,30.83,208.61,-0.0113,25.08,dem_synthetic,simulated
ISRO-2014-0082,25.264804,92.650678,1464.7,44.31,268.22,0.0327,5.29,dem_synthetic,simulated
ISRO-2019-0083,26.199472,94.74516,1524.2,25.85,172.53,-0.0411,187.42,dem_synthetic,simulated
ISRO-2006-0084,23.80882,92.653716,247.6,22.82,202.82,-0.0024,71.77,dem_synthetic,simulated
ISRO-2022-0085,26.500441,92.847606,2684.8,35.65,310.73,-0.0537,5.94,dem_synthetic,simulated
ISRO-1999-0086,27.15099,94.958834,2112.3,37.5,164.21,-0.0034,55.87,dem_synthetic,simulated
ISRO-2016-0087,23.520428,91.49227,1516.9,37.68,116.62,0.0816,72.53,dem_synthetic,simulated
ISRO-2016-0088,23.545372,91.67672,1628.6,28.76,201.74,-0.0246,5.46,dem_synthetic,simulated
ISRO-2005-0089,27.630745,91.945987,3578.2,44.64,95.75,-0.0188,97.23,dem_synthetic,simulated
