event_id,latitude,longitude,date,rainfall_1h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_48h,rainfall_7d,rainfall_intensity,data_source,data_quality
ISRO-2017-0001,27.269439,95.379299,2017-04-19,0.76,2.37,7.31,14.86,16.7,117.25,0.762,gpm_synthetic,simulated
ISRO-2001-0002,25.475193,90.935399,2001-08-26,0.12,0.13,0.14,0.83,1.1,1.62,0.116,gpm_synthetic,simulated
ISRO-2011-0003,27.081909,95.363816,2011-09-18,2.95,28.96,6.7,54.89,158.45,239.22,2.947,gpm_synthetic,simulated
ISRO-2017-0004,23.547319,92.483361,2017-05-02,0.45,0.21,0.33,10.1,17.52,33.14,0.446,gpm_synthetic,simulated
ISRO-2006-0005,24.43523,93.884778,2006-05-06,1.51,9.3,41.36,63.68,83.8,86.63,1.513,gpm_synthetic,simulated
ISRO-2008-0006,23.966339,91.400133,2008-10-09,0.43,1.51,6.53,8.51,8.55,23.92,0.431,gpm_synthetic,simulated
ISRO-2015-0007,25.319876,92.549954,2015-09-01,0.27,13.15,11.8,15.27,50.05,103.44,0.272,gpm_synthetic,simulated
ISRO-2009-0008,25.734371,90.119898,2009-09-04,0.99,11.59,17.97,136.83,231.09,565.83,0.992,gpm_synthetic,simulated
ISRO-2013-0009,25.72679,90.329604,2013-02-09,0.03,0.49,0.06,1.65,1.75,4.63,0.032,gpm_synthetic,simulated
ISRO-2019-0010,23.36697,91.379151,2019-07-08,21.48,31.49,114.42,159.29,232.27,530.79,21.475,gpm_synthetic,simulated
ISRO-2014-0011,23.453193,91.75701,2014-02-05,0.23,0.47,0.91,1.88,1.91,6.0,0.235,gpm_synthetic,simulated
ISRO-2002-0012,26.200522,94.326156,2002-07-19,4.8,14.38,67.69,90.26,175.48,292.82,4.803,gpm_synthetic,simulated
ISRO-2007-0013,23.193825,92.509003,2007-11-26,0.51,1.12,2.46,5.97,6.37,9.29,0.507,gpm_synthetic,simulated
ISRO-2017-0014,25.608445,92.674681,2017-04-08,1.56,0.3,31.37,43.0,55.68,309.52,1.565,gpm_synthetic,simulated
ISRO-2005-0015,26.23961,94.338386,2005-09-24,2.51,6.25,0.55,51.4,217.43,265.67,2.51,gpm_synthetic,simulated
ISRO-2012-0016,27.074923,92.792222,2012-03-12,0.26,27.01,0.28,35.18,53.31,59.76,0.259,gpm_synthetic,simulated
ISRO-2000-0017,23.743822,92.335296,2000-08-25,1.26,11.72,5.89,15.8,29.59,63.8,1.257,gpm_synthetic,simulated
ISRO-2021-0018,26.991152,93.141368,2021-08-03,4.52,20.86,7.61,40.53,58.16,151.25,4.521,gpm_synthetic,simulated
ISRO-2009-0019,25.583488,90.215784,2009-07-15,0.4,144.48,0.23,97.56,179.81,430.35,0.403,gpm_synthetic,simulated
ISRO-2001-0020,25.727018,90.104288,2001-06-19,0.51,1.57,0.14,15.09,22.39,58.58,0.512,gpm_synthetic,simulated
ISRO-2000-0021,25.608006,91.265107,2000-08-02,21.77,4.61,10.24,97.64,131.86,173.41,21.773,gpm_synthetic,simulated
ISRO-2005-0022,23.72645,91.495459,2005-06-14,4.09,11.0,9.64,29.28,42.42,384.95,4.089,gpm_synthetic,simulated
ISRO-2008-0023,26.346188,94.095839,2008-11-21,0.53,4.89,6.38,9.29,16.04,46.72,0.525,gpm_synthetic,simulated
ISRO-2017-0024,27.680831,91.736829,2017-09-03,0.46,5.84,5.67,15.21,35.38,38.75,0.461,gpm_synthetic,simulated
ISRO-2001-0025,27.765556,91.626642,2001-08-05,0.8,14.03,12.26,46.54,147.39,231.08,0.804,gpm_synthetic,simulated
ISRO-2017-0026,23.735913,91.600371,2017-01-04,2.95,11.23,23.25,34.81,47.2,69.75,2.947,gpm_synthetic,simulated
ISRO-2001-0027,23.503165,91.697131,2001-06-16,0.08,9.01,4.86,13.92,16.45,53.28,0.079,gpm_synthetic,simulated
ISRO-2001-0028,27.111877,88.813781,2001-07-11,2.14,32.09,5.84,46.54,71.18,80.4,2.142,gpm_synthetic,simulated
ISRO-2005-0029,25.712404,90.76243,2005-08-15,1.1,2.68,0.23,34.91,42.07,164.19,1.1,gpm_synthetic,simulated
ISRO-2022-0030,27.648021,92.016512,2022-07-22,3.03,6.45,133.03,109.77,199.34,1062.66,3.026,gpm_synthetic,simulated
ISRO-2018-0031,26.248409,93.76632,2018-08-15,4.34,0.6,0.94,39.87,40.52,44.81,4.338,gpm_synthetic,simulated
ISRO-2007-0032,26.962941,93.075966,2007-07-24,0.11,16.37,0.66,37.73,48.99,64.94,0.115,gpm_synthetic,simulated
ISRO-2018-0033,27.102639,88.383279,2018-05-17,0.03,3.76,38.74,24.39,40.78,58.86,0.034,gpm_synthetic,simulated
ISRO-2021-0034,27.032766,88.19236,2021-05-05,1.63,2.23,44.31,46.38,48.46,197.72,1.634,gpm_synthetic,simulated
ISRO-1999-0035,27.345572,88.690357,1999-07-11,8.44,16.74,186.09,169.84,181.89,334.07,8.444,gpm_synthetic,simulated
ISRO-1999-0036,25.340749,90.868372,1999-08-07,5.72,27.34,325.66,116.67,170.86,225.87,5.719,gpm_synthetic,simulated
ISRO-2011-0037,23.600836,91.466729,2011-11-02,0.81,0.46,8.98,10.84,29.15,47.45,0.811,gpm_synthetic,simulated
ISRO-2022-0038,25.651013,92.839739,2022-09-18,0.07,0.63,2.05,5.14,6.74,26.26,0.073,gpm_synthetic,simulated
ISRO-2019-0039,23.4814,91.542545,2019-06-18,0.67,0.44,7.59,51.03,59.4,211.64,0.673,gpm_synthetic,simulated
ISRO-2003-0040,23.333756,92.633196,2003-07-09,3.96,8.42,20.75,32.22,63.34,64.58,3.959,gpm_synthetic,simulated
ISRO-2020-0041,23.690455,92.414181,2020-10-15,0.19,6.88,24.08,27.24,36.19,54.13,0.191,gpm_synthetic,simulated
ISRO-2013-0042,26.394078,94.117447,2013-09-06,2.4,5.49,21.04,84.41,115.19,131.81,2.402,gpm_synthetic,simulated
ISRO-2000-0043,23.012858,92.592247,2000-05-26,3.8,3.59,0.52,26.6,49.33,61.51,3.804,gpm_synthetic,simulated
ISRO-2017-0044,25.147557,94.323014,2017-08-07,0.05,0.05,1.86,7.14,10.6,14.52,0.046,gpm_synthetic,simulated
ISRO-2012-0045,27.036215,92.982993,2012-09-15,3.54,9.19,33.89,86.78,158.02,217.12,3.545,gpm_synthetic,simulated
ISRO-2021-0046,26.809867,92.808552,2021-09-03,0.36,3.3,88.41,36.53,55.86,105.28,0.357,gpm_synthetic,simulated
ISRO-2006-0047,26.399183,94.631266,2006-07-08,1.18,114.65,273.13,218.73,258.1,878.07,1.182,gpm_synthetic,simulated
ISRO-2021-0048,27.268952,95.14166,2021-08-20,18.02,49.51,7.52,166.29,177.02,1311.75,18.018,gpm_synthetic,simulated
ISRO-2007-0049,27.243316,93.10888,2007-05-26,10.32,12.15,43.63,48.69,49.9,169.0,10.325,gpm_synthetic,simulated
ISRO-2012-0050,25.393048,91.856151,2012-10-13,0.4,0.4,14.84,11.38,16.68,30.53,0.397,gpm_synthetic,simulated
ISRO-2005-0051,27.809221,91.940647,2005-12-03,0.01,6.44,2.69,8.13,9.96,15.78,0.012,gpm_synthetic,simulated
ISRO-2000-0052,28.349552,94.782842,2000-04-18,0.96,2.68,71.31,35.48,48.74,64.23,0.961,gpm_synthetic,simulated
ISRO-2001-0053,25.138384,93.949102,2001-09-25,6.31,12.01,13.7,84.67,341.1,397.73,6.309,gpm_synthetic,simulated
ISRO-2013-0054,27.450741,88.469276,2013-03-23,1.19,0.91,1.39,7.71,18.01,29.5,1.194,gpm_synthetic,simulated
ISRO-2015-0055,27.46899,88.370076,2015-05-06,0.68,13.6,1.96,28.68,60.6,74.59,0.679,gpm_synthetic,simulated
ISRO-2019-0056,27.127606,95.317311,2019-06-06,0.03,9.93,17.9,18.39,43.29,55.74,0.032,gpm_synthetic,simulated
ISRO-1999-0057,25.558154,90.771175,1999-09-24,1.04,1.62,10.64,11.85,15.31,27.75,1.035,gpm_synthetic,simulated
ISRO-2022-0058,24.77928,94.54204,2022-08-18,0.2,0.27,0.13,2.55,4.35,7.71,0.197,gpm_synthetic,simulated
ISRO-2012-0059,24.599888,93.974617,2012-05-26,1.09,1.31,5.99,11.84,13.92,45.52,1.093,gpm_synthetic,simulated
ISRO-2000-0060,26.817047,92.889038,2000-07-09,16.7,33.0,305.25,227.98,369.67,457.85,16.702,gpm_synthetic,simulated
ISRO-2008-0061,26.858814,93.044153,2008-02-09,0.03,1.37,11.89,2.98,6.06,6.35,0.026,gpm_synthetic,simulated
ISRO-2012-0062,27.332886,95.301001,2012-09-18,5.99,9.11,0.98,50.84,61.0,95.85,5.987,gpm_synthetic,simulated
