event_id,latitude,longitude,date,year,state,district,event_type,trigger,severity,inventory_type,data_source,data_quality,source_citation,license
ISRO-2017-0001,27.269439,95.379299,2017-04-19,2017,Arunachal Pradesh,Lohit,translational_slide,unknown,very_high,seasonal,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2001-0002,25.475193,90.935399,2001-08-26,2001,Meghalaya,West Khasi Hills,rotational_slide,rain_and_snowmelt,high,event,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2011-0003,27.081909,95.363816,2011-09-18,2011,Arunachal Pradesh,Lohit,debris_flow,monsoonal_rain,medium,route,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2017-0004,23.547319,92.483361,2017-05-02,2017,Mizoram,Champhai,mudflow,unknown,medium,route,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2006-0005,24.43523,93.884778,2006-05-06,2006,Manipur,Ukhrul,rockfall,rain,medium,seasonal,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2008-0006,23.966339,91.400133,2008-10-09,2008,Tripura,West Tripura,mudflow,rain,high,event,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2015-0007,25.319876,92.549954,2015-09-01,2015,Assam,Cachar,rotational_slide,unknown,medium,seasonal,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2009-0008,25.734371,90.119898,2009-09-04,2009,Meghalaya,South Garo Hills,mudflow,earthquake,medium,seasonal,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2013-0009,25.72679,90.329604,2013-02-09,2013,Meghalaya,South Garo Hills,mudflow,rain,medium,event,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2019-0010,23.36697,91.379151,2019-07-08,2019,Tripura,Gomati,debris_flow,earthquake,medium,seasonal,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2014-0011,23.453193,91.75701,2014-02-05,2014,Tripura,Gomati,translational_slide,unknown,low,event,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2002-0012,26.200522,94.326156,2002-07-19,2002,Nagaland,Kohima,rockfall,rain,medium,seasonal,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2007-0013,23.193825,92.509003,2007-11-26,2007,Mizoram,Aizawl,rotational_slide,rain,medium,route,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2017-0014,25.608445,92.674681,2017-04-08,2017,Assam,Cachar,debris_flow,rain_and_snowmelt,very_high,event,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2005-0015,26.23961,94.338386,2005-09-24,2005,Nagaland,Kohima,translational_slide,rain_and_snowmelt,high,seasonal,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2012-0016,27.074923,92.792222,2012-03-12,2012,Arunachal Pradesh,Papum Pare,debris_flow,rain,medium,event,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2000-0017,23.743822,92.335296,2000-08-25,2000,Mizoram,Champhai,translational_slide,earthquake,low,event,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2021-0018,26.991152,93.141368,2021-08-03,2021,Arunachal Pradesh,Papum Pare,rotational_slide,monsoonal_rain,medium,seasonal,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2009-0019,25.583488,90.215784,2009-07-15,2009,Meghalaya,South Garo Hills,rockfall,rain,low,route,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2001-0020,25.727018,90.104288,2001-06-19,2001,Meghalaya,South Garo Hills,translational_slide,unknown,medium,seasonal,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2000-0021,25.608006,91.265107,2000-08-02,2000,Assam,Kamrup,rockfall,rain,medium,route,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2005-0022,23.72645,91.495459,2005-06-14,2005,Tripura,Gomati,debris_flow,rain,very_high,event,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
ISRO-2008-0023,26.346188,94.095839,2008-11-21,2008,Assam,Karbi Anglong,debris_flow,earthquake,high,event,isro_atlas_synthetic,simulated,NRSC/ISRO Landslide Atlas (synthetic NER representation — not official data),GODL-India/Research use — synthetic representation only
