event_id,latitude,longitude,date,trigger,event_type,severity,state,district,source_name,source_link,data_source,data_quality,license
COOLR-SYN-0001,23.839055,91.30715,2015-12-27,human_activity,rockfall,small,Tripura,West Tripura,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0002,25.732707,90.280514,2008-11-17,rain,rockfall,small,Meghalaya,South Garo Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0003,25.262163,91.310009,2013-11-19,rain,translational_slide,small,Assam,Kamrup,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0004,26.179193,94.821555,2008-10-13,rain,rotational_slide,medium,Nagaland,Mokokchung,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0005,27.359479,88.693411,2016-08-25,rain,debris_flow,small,Sikkim,East Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0006,27.857116,94.467878,2011-08-08,rain_and_snowmelt,rockfall,large,Arunachal Pradesh,Upper Siang,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0007,25.199104,91.94177,2022-09-09,earthquake,rockfall,medium,Meghalaya,East Khasi Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0008,26.167711,94.946664,2015-09-16,rain,translational_slide,large,Nagaland,Mokokchung,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0009,25.346182,91.122756,2019-07-14,rain,rockfall,large,Assam,Kamrup,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0010,27.09322,93.12341,2020-03-06,rain,rockfall,medium,Arunachal Pradesh,Papum Pare,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0011,26.352878,93.938236,2013-09-12,rain,debris_flow,medium,Nagaland,Dimapur,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0012,25.995842,90.512315,2015-08-20,rain,rockfall,medium,Meghalaya,South Garo Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0013,24.583995,94.123938,2020-07-01,rain,mudflow,small,Manipur,Senapati,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0014,27.447858,88.300629,2014-07-23,rain_and_snowmelt,translational_slide,very_large,Sikkim,West Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0015,26.354805,94.009372,2009-07-06,rain,debris_flow,medium,Nagaland,Dimapur,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0016,23.579625,91.225923,2016-08-09,rain,rockfall,small,Tripura,West Tripura,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0017,26.267916,92.798373,2015-07-10,unknown,rotational_slide,medium,Arunachal Pradesh,East Kameng,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0018,25.268988,92.868275,2017-06-27,rain,mudflow,medium,Assam,Cachar,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0019,25.353371,92.802101,2016-07-16,earthquake,rockfall,large,Assam,Cachar,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0020,25.316211,91.99994,2019-08-09,rain_and_snowmelt,mudflow,small,Meghalaya,East Khasi Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0021,27.56998,91.608479,2007-10-03,earthquake,rotational_slide,large,Arunachal Pradesh,Tawang,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0022,27.00684,88.828015,2014-06-12,rain,mudflow,large,Sikkim,East Sikkim,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0023,25.731431,91.275015,2020-06-23,rain,mudflow,medium,Meghalaya,West Khasi Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0024,28.02464,94.801961,2019-06-22,monsoonal_rain,mudflow,medium,Arunachal Pradesh,Upper Siang,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0025,25.308887,92.34653,2021-07-24,rain,debris_flow,small,Meghalaya,East Khasi Hills,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0026,24.935123,94.16868,2010-08-26,earthquake,rockfall,large,Manipur,Senapati,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
COOLR-SYN-0027,23.444228,91.720122,2022-07-18,rain,rotational_slide,large,Tripura,Gomati,NASA COOLR (synthetic NER),,nasa_coolr_synthetic,simulated,NASA Open Data (synthetic representation only)
