event_id,latitude,longitude,ground_displacement,displacement_class,data_source,data_quality
ISRO-2017-0001,27.269439,95.379299,16.52,creep,sentinel1_synthetic,simulated
ISRO-2001-0002,25.475193,90.935399,1.48,stable,sentinel1_synthetic,simulated
ISRO-2011-0003,27.081909,95.363816,0.12,creep,sentinel1_synthetic,simulated
ISRO-2017-0004,23.547319,92.483361,2.91,stable,sentinel1_synthetic,simulated
ISRO-2006-0005,24.43523,93.884778,20.79,creep,sentinel1_synthetic,simulated
ISRO-2008-0006,23.966339,91.400133,1.2,stable,sentinel1_synthetic,simulated
ISRO-2015-0007,25.319876,92.549954,4.26,stable,sentinel1_synthetic,simulated
ISRO-2009-0008,25.734371,90.119898,1.66,stable,sentinel1_synthetic,simulated
ISRO-2013-0009,25.72679,90.329604,11.38,creep,sentinel1_synthetic,simulated
ISRO-2019-0010,23.36697,91.379151,31.44,creep,sentinel1_synthetic,simulated
ISRO-2014-0011,23.453193,91.75701,2.38,stable,sentinel1_synthetic,simulated
ISRO-2002-0012,26.200522,94.326156,12.52,creep,sentinel1_synthetic,simulated
ISRO-2007-0013,23.193825,92.509003,51.79,active,sentinel1_synthetic,simulated
ISRO-2017-0014,25.608445,92.674681,15.37,creep,sentinel1_synthetic,simulated
ISRO-2005-0015,26.23961,94.338386,14.22,creep,sentinel1_synthetic,simulated
ISRO-2012-0016,27.074923,92.792222,9.63,creep,sentinel1_synthetic,simulated
ISRO-2000-0017,23.743822,92.335296,34.72,creep,sentinel1_synthetic,simulated
ISRO-2021-0018,26.991152,93.141368,0.43,stable,sentinel1_synthetic,simulated
ISRO-2009-0019,25.583488,90.215784,4.71,stable,sentinel1_synthetic,simulated
ISRO-2001-0020,25.727018,90.104288,6.49,creep,sentinel1_synthetic,simulated
ISRO-2000-0021,25.608006,91.265107,15.03,creep,sentinel1_synthetic,simulated
ISRO-2005-0022,23.72645,91.495459,11.09,active,sentinel1_synthetic,simulated
ISRO-2008-0023,26.346188,94.095839,8.98,creep,sentinel1_synthetic,simulated
ISRO-2017-0024,27.680831,91.736829,15.57,creep,sentinel1_synthetic,simulated
ISRO-2001-0025,27.765556,91.626642,3.76,stable,sentinel1_synthetic,simulated
ISRO-2017-0026,23.735913,91.600371,1.61,stable,sentinel1_synthetic,simulated
ISRO-2001-0027,23.503165,91.697131,23.34,active,sentinel1_synthetic,simulated
ISRO-2001-0028,27.111877,88.813781,16.59,creep,sentinel1_synthetic,simulated
ISRO-2005-0029,25.712404,90.76243,6.35,creep,sentinel1_synthetic,simulated
ISRO-2022-0030,27.648021,92.016512,2.43,stable,sentinel1_synthetic,simulated
ISRO-2018-0031,26.248409,93.76632,68.57,active,sentinel1_synthetic,simulated
ISRO-2007-0032,26.962941,93.075966,19.0,creep,sentinel1_synthetic,simulated
ISRO-2018-0033,27.102639,88.383279,20.26,creep,sentinel1_synthetic,simulated
ISRO-2021-0034,27.032766,88.19236,0.53,stable,sentinel1_synthetic,simulated
ISRO-1999-0035,27.345572,88.690357,3.47,stable,sentinel1_synthetic,simulated
ISRO-1999-0036,25.340749,90.868372,47.16,active,sentinel1_synthetic,simulated
ISRO-2011-0037,23.600836,91.466729,4.87,creep,sentinel1_synthetic,simulated
ISRO-2022-0038,25.651013,92.839739,16.53,creep,sentinel1_synthetic,simulated
ISRO-2019-0039,23.4814,91.542545,0.04,stable,sentinel1_synthetic,simulated
ISRO-2003-0040,23.333756,92.633196,0.67,stable,sentinel1_synthetic,simulated
ISRO-2020-0041,23.690455,92.414181,19.26,creep,sentinel1_synthetic,simulated
ISRO-2013-0042,26.394078,94.117447,1.46,stable,sentinel1_synthetic,simulated
ISRO-2000-0043,23.012858,92.592247,1.8,stable,sentinel1_synthetic,simulated
ISRO-2017-0044,25.147557,94.323014,0.6,stable,sentinel1_synthetic,simulated
ISRO-2012-0045,27.036215,92.982993,1.24,stable,sentinel1_synthetic,simulated
ISRO-2021-0046,26.809867,92.808552,0.45,stable,sentinel1_synthetic,simulated
ISRO-2006-0047,26.399183,94.631266,2.51,active,sentinel1_synthetic,simulated
ISRO-2021-0048,27.268952,95.14166,4.44,stable,sentinel1_synthetic,simulated
ISRO-2007-0049,27.243316,93.10888,66.12,active,sentinel1_synthetic,simulated
ISRO-2012-0050,25.393048,91.856151,4.52,creep,sentinel1_synthetic,simulated
ISRO-2005-0051,27.809221,91.940647,11.83,creep,sentinel1_synthetic,simulated
ISRO-2000-0052,28.349552,94.782842,0.85,stable,sentinel1_synthetic,simulated
ISRO-2001-0053,25.138384,93.949102,11.73,creep,sentinel1_synthetic,simulated
ISRO-2013-0054,27.450741,88.469276,0.83,stable,sentinel1_synthetic,simulated
ISRO-2015-0055,27.46899,88.370076,3.57,stable,sentinel1_synthetic,simulated
ISRO-2019-0056,27.127606,95.317311,2.04,stable,sentinel1_synthetic,simulated
ISRO-1999-0057,25.558154,90.771175,1.19,stable,sentinel1_synthetic,simulated
ISRO-2022-0058,24.77928,94.54204,1.21,stable,sentinel1_synthetic,simulated
