event_id,latitude,longitude,ndvi,land_cover,data_source,data_quality
ISRO-2017-0001,27.269439,95.379299,0.029,bare_soil,sentinel2_synthetic,simulated
ISRO-2001-0002,25.475193,90.935399,0.342,scrubland,sentinel2_synthetic,simulated
ISRO-2011-0003,27.081909,95.363816,0.212,scrubland,sentinel2_synthetic,simulated
ISRO-2017-0004,23.547319,92.483361,0.653,dense_forest,sentinel2_synthetic,simulated
ISRO-2006-0005,24.43523,93.884778,0.074,built_up,sentinel2_synthetic,simulated
ISRO-2008-0006,23.966339,91.400133,0.495,scrubland,sentinel2_synthetic,simulated
ISRO-2015-0007,25.319876,92.549954,0.213,grassland,sentinel2_synthetic,simulated
ISRO-2009-0008,25.734371,90.119898,0.381,degraded_forest,sentinel2_synthetic,simulated
ISRO-2013-0009,25.72679,90.329604,0.691,dense_forest,sentinel2_synthetic,simulated
ISRO-2019-0010,23.36697,91.379151,0.853,dense_forest,sentinel2_synthetic,simulated
ISRO-2014-0011,23.453193,91.75701,0.459,agriculture,sentinel2_synthetic,simulated
ISRO-2002-0012,26.200522,94.326156,0.379,scrubland,sentinel2_synthetic,simulated
ISRO-2007-0013,23.193825,92.509003,0.498,scrubland,sentinel2_synthetic,simulated
ISRO-2017-0014,25.608445,92.674681,0.243,scrubland,sentinel2_synthetic,simulated
ISRO-2005-0015,26.23961,94.338386,0.407,scrubland,sentinel2_synthetic,simulated
ISRO-2012-0016,27.074923,92.792222,0.54,agriculture,sentinel2_synthetic,simulated
ISRO-2000-0017,23.743822,92.335296,0.612,dense_forest,sentinel2_synthetic,simulated
ISRO-2021-0018,26.991152,93.141368,0.538,degraded_forest,sentinel2_synthetic,simulated
ISRO-2009-0019,25.583488,90.215784,0.351,grassland,sentinel2_synthetic,simulated
ISRO-2001-0020,25.727018,90.104288,0.381,scrubland,sentinel2_synthetic,simulated
ISRO-2000-0021,25.608006,91.265107,0.718,dense_forest,sentinel2_synthetic,simulated
ISRO-2005-0022,23.72645,91.495459,0.362,degraded_forest,sentinel2_synthetic,simulated
ISRO-2008-0023,26.346188,94.095839,0.035,built_up,sentinel2_synthetic,simulated
ISRO-2017-0024,27.680831,91.736829,0.163,built_up,sentinel2_synthetic,simulated
ISRO-2001-0025,27.765556,91.626642,0.709,dense_forest,sentinel2_synthetic,simulated
ISRO-2017-0026,23.735913,91.600371,0.786,dense_forest,sentinel2_synthetic,simulated
ISRO-2001-0027,23.503165,91.697131,0.727,dense_forest,sentinel2_synthetic,simulated
ISRO-2001-0028,27.111877,88.813781,0.287,grassland,sentinel2_synthetic,simulated
ISRO-2005-0029,25.712404,90.76243,0.328,scrubland,sentinel2_synthetic,simulated
ISRO-2022-0030,27.648021,92.016512,0.459,scrubland,sentinel2_synthetic,simulated
ISRO-2018-0031,26.248409,93.76632,0.469,scrubland,sentinel2_synthetic,simulated
ISRO-2007-0032,26.962941,93.075966,0.451,agriculture,sentinel2_synthetic,simulated
ISRO-2018-0033,27.102639,88.383279,0.56,degraded_forest,sentinel2_synthetic,simulated
ISRO-2021-0034,27.032766,88.19236,0.295,scrubland,sentinel2_synthetic,simulated
ISRO-1999-0035,27.345572,88.690357,0.317,scrubland,sentinel2_synthetic,simulated
ISRO-1999-0036,25.340749,90.868372,0.062,built_up,sentinel2_synthetic,simulated
ISRO-2011-0037,23.600836,91.466729,0.605,degraded_forest,sentinel2_synthetic,simulated
ISRO-2022-0038,25.651013,92.839739,0.428,degraded_forest,sentinel2_synthetic,simulated
ISRO-2019-0039,23.4814,91.542545,0.818,dense_forest,sentinel2_synthetic,simulated
ISRO-2003-0040,23.333756,92.633196,0.295,scrubland,sentinel2_synthetic,simulated
ISRO-2020-0041,23.690455,92.414181,0.756,dense_forest,sentinel2_synthetic,simulated
ISRO-2013-0042,26.394078,94.117447,0.53,agriculture,sentinel2_synthetic,simulated
ISRO-2000-0043,23.012858,92.592247,0.788,dense_forest,sentinel2_synthetic,simulated
