event_id,latitude,longitude,soil_ph,soil_organic_carbon,soil_texture,soil_moisture,data_source,data_quality
ISRO-2017-0001,27.269439,95.379299,6.66,35.45,clay,44.38,soilgrids_synthetic,simulated
ISRO-2001-0002,25.475193,90.935399,4.69,22.98,clay loam,30.14,soilgrids_synthetic,simulated
ISRO-2011-0003,27.081909,95.363816,6.78,41.74,loam,74.75,soilgrids_synthetic,simulated
ISRO-2017-0004,23.547319,92.483361,4.71,20.15,clay,52.48,soilgrids_synthetic,simulated
ISRO-2006-0005,24.43523,93.884778,5.79,4.89,clay,57.38,soilgrids_synthetic,simulated
ISRO-2008-0006,23.966339,91.400133,5.12,26.68,sandy clay loam,59.61,soilgrids_synthetic,simulated
ISRO-2015-0007,25.319876,92.549954,6.34,28.09,clay loam,83.2,soilgrids_synthetic,simulated
ISRO-2009-0008,25.734371,90.119898,4.79,4.7,clay loam,69.73,soilgrids_synthetic,simulated
ISRO-2013-0009,25.72679,90.329604,5.88,18.5,sandy loam,70.66,soilgrids_synthetic,simulated
ISRO-2019-0010,23.36697,91.379151,5.3,3.58,sandy clay loam,66.28,soilgrids_synthetic,simulated
ISRO-2014-0011,23.453193,91.75701,5.64,2.51,clay loam,36.86,soilgrids_synthetic,simulated
ISRO-2002-0012,26.200522,94.326156,6.01,10.89,silty clay loam,60.34,soilgrids_synthetic,simulated
ISRO-2007-0013,23.193825,92.509003,6.82,42.84,clay,50.44,soilgrids_synthetic,simulated
ISRO-2017-0014,25.608445,92.674681,5.17,26.01,silty clay loam,38.83,soilgrids_synthetic,simulated
ISRO-2005-0015,26.23961,94.338386,5.9,38.74,sandy loam,53.04,soilgrids_synthetic,simulated
ISRO-2012-0016,27.074923,92.792222,5.5,8.58,sandy clay loam,79.96,soilgrids_synthetic,simulated
ISRO-2000-0017,23.743822,92.335296,6.0,6.17,silty clay loam,38.88,soilgrids_synthetic,simulated
ISRO-2021-0018,26.991152,93.141368,5.3,13.86,loam,55.35,soilgrids_synthetic,simulated
ISRO-2009-0019,25.583488,90.215784,5.26,0.44,loam,75.46,soilgrids_synthetic,simulated
ISRO-2001-0020,25.727018,90.104288,6.58,5.0,clay loam,49.46,soilgrids_synthetic,simulated
ISRO-2000-0021,25.608006,91.265107,5.5,32.82,clay,57.88,soilgrids_synthetic,simulated
ISRO-2005-0022,23.72645,91.495459,5.77,122.03,loam,73.0,soilgrids_synthetic,simulated
ISRO-2008-0023,26.346188,94.095839,6.32,15.13,clay loam,67.69,soilgrids_synthetic,simulated
ISRO-2017-0024,27.680831,91.736829,6.59,19.56,silty clay loam,56.51,soilgrids_synthetic,simulated
ISRO-2001-0025,27.765556,91.626642,5.84,23.66,loam,71.37,soilgrids_synthetic,simulated
ISRO-2017-0026,23.735913,91.600371,5.48,9.36,silty clay loam,51.98,soilgrids_synthetic,simulated
ISRO-2001-0027,23.503165,91.697131,5.95,110.03,clay loam,58.84,soilgrids_synthetic,simulated
ISRO-2001-0028,27.111877,88.813781,5.21,60.64,sandy clay loam,68.96,soilgrids_synthetic,simulated
ISRO-2005-0029,25.712404,90.76243,6.42,6.27,loam,49.67,soilgrids_synthetic,simulated
ISRO-2022-0030,27.648021,92.016512,5.7,25.28,clay loam,39.7,soilgrids_synthetic,simulated
ISRO-2018-0031,26.248409,93.76632,5.83,7.42,clay loam,48.63,soilgrids_synthetic,simulated
ISRO-2007-0032,26.962941,93.075966,6.88,15.88,clay loam,62.15,soilgrids_synthetic,simulated
ISRO-2018-0033,27.102639,88.383279,5.53,17.37,sandy loam,70.9,soilgrids_synthetic,simulated
ISRO-2021-0034,27.032766,88.19236,5.16,0.65,sandy loam,71.3,soilgrids_synthetic,simulated
ISRO-1999-0035,27.345572,88.690357,6.77,46.76,loam,57.31,soilgrids_synthetic,simulated
ISRO-1999-0036,25.340749,90.868372,4.8,13.24,loam,31.74,soilgrids_synthetic,simulated
ISRO-2011-0037,23.600836,91.466729,5.23,78.59,clay loam,45.06,soilgrids_synthetic,simulated
ISRO-2022-0038,25.651013,92.839739,4.78,27.11,sandy loam,32.11,soilgrids_synthetic,simulated
ISRO-2019-0039,23.4814,91.542545,4.78,7.82,sandy clay loam,35.26,soilgrids_synthetic,simulated
ISRO-2003-0040,23.333756,92.633196,6.09,14.96,clay loam,30.21,soilgrids_synthetic,simulated
ISRO-2020-0041,23.690455,92.414181,6.23,30.62,sandy clay loam,84.84,soilgrids_synthetic,simulated
ISRO-2013-0042,26.394078,94.117447,6.09,10.35,loam,64.64,soilgrids_synthetic,simulated
